热浴温度/K	样品电阻/Ω	参考电阻/Ω
32.71627261	1093.64	1086.21
32.71492311	1093.67	1086.22
32.7135737	1093.56	1086.28
32.71222438	1093.62	1086.25
32.70817691	1093.64	1086.29
32.70817691	1093.71	1086.22
32.70413022	1093.9	1086.25
32.70143286	1093.79	1086.3
32.69738745	1093.82	1086.27
32.69603915	1093.44	1086.26
32.69199478	1093.61	1086.35
32.68795117	1093.76	1086.3
32.68929895	1093.76	1086.33
32.68795117	1093.69	1086.28
32.68660347	1093.81	1086.37
32.68390833	1093.77	1086.34
32.68121353	1093.75	1086.34
32.67851907	1093.8	1086.35
32.67717197	1093.71	1086.35
32.67447803	1093.77	1086.34
32.67447803	1093.82	1086.3
32.67043775	1093.77	1086.3
32.67043775	1093.63	1086.34
32.67043775	1093.73	1086.36
32.66774466	1093.85	1086.39
32.66639824	1093.78	1086.42
32.66774466	1093.79	1086.39
32.65966743	1093.84	1086.42
32.65832153	1093.89	1086.41
32.65562997	1093.85	1086.31
32.65293876	1093.76	1086.37
32.65562997	1093.84	1086.33
32.65159328	1093.92	1086.31
32.65159328	1093.9	1086.41
32.65024788	1093.84	1086.4
32.64486715	1093.93	1086.44
32.6408325	1093.88	1086.41
32.63814315	1093.51	1086.39
32.63948778	1093.73	1086.45
32.63410977	1093.88	1086.42
32.63142128	1093.14	1086.46
32.63142128	1093.72	1086.44
32.62873312	1093.91	1086.46
32.62873312	1093.95	1086.48
32.62738917	1093.87	1086.48
32.62470153	1093.99	1086.53
32.62067069	1093.63	1086.47
32.62067069	1093.85	1086.53
32.61529744	1094.02	1086.55
32.61395433	1094.06	1086.52
32.61126838	1094	1086.49
32.61261132	1093.98	1086.48
32.60858277	1094.03	1086.54
32.60858277	1094.06	1086.54
32.60455499	1093.84	1086.46
32.6058975	1094.27	1086.51
32.60052797	1094.06	1086.59
32.59784371	1094.18	1086.57
32.59381795	1094.2	1086.51
32.59113454	1093.64	1086.61
32.59247621	1093.94	1086.68
32.58845147	1093.96	1086.62
32.58711006	1094.11	1086.65
32.58442749	1094.05	1086.6
32.58308633	1093.92	1086.63
32.58174526	1094.11	1086.63
32.57906336	1094.13	1086.65
32.57638181	1094.11	1086.56
32.57504116	1094.04	1086.59
32.57370059	1094.11	1086.57
32.56967939	1094.06	1086.56
32.56833916	1093.82	1086.59
32.56699902	1093.88	1086.56
32.56565896	1094	1086.66
32.56297909	1094.05	1086.64
32.55895991	1094.13	1086.62
32.55226297	1094.13	1086.55
32.55494149	1094.26	1086.67
32.55226297	1094.2	1086.69
32.55226297	1094.12	1086.69
32.54958478	1094.16	1086.65
32.54289078	1094.08	1086.77
32.54556813	1094.18	1086.81
32.54422942	1094.21	1086.78
32.53887539	1094.1	1086.73
32.53887539	1094.21	1086.74
32.53619889	1094.26	1086.68
32.53486076	1094.22	1086.71
32.53084688	1094.13	1086.77
32.53352271	1094.27	1086.71
32.53084688	1094.21	1086.76
32.52549621	1094.1	1086.82
32.52817138	1094.17	1086.8
32.52148409	1094.24	1086.8
32.52014688	1094.28	1086.8
32.52148409	1094.27	1086.86
32.5147989	1094.28	1086.77
32.51212541	1094.22	1086.73
32.51212541	1094.15	1086.79
32.51078879	1094.18	1086.78
32.50677943	1094.25	1086.83
32.50544314	1094.26	1086.84
32.50410694	1094.31	1086.9
32.50277082	1094.3	1086.78
32.49742719	1094.23	1086.78
32.49475587	1094.24	1086.82
32.49208489	1094.26	1086.87
32.49074952	1094.28	1086.85
32.48807904	1094.3	1086.79
32.48807904	1094.33	1086.85
32.48674392	1094.17	1086.81
32.48407394	1094.19	1086.86
32.48273907	1094.27	1086.76
32.48273907	1094.39	1086.84
32.48273907	1094.38	1086.9
32.47740044	1094.37	1086.91
32.47206315	1094.4	1086.9
32.47206315	1094.36	1086.93
32.469395	1094.4	1086.96
32.46672718	1094.43	1086.96
32.46806105	1094.39	1086.93
32.4653934	1094.42	1086.97
32.4653934	1094.37	1086.92
32.4600591	1094.46	1086.99
32.45605925	1094.43	1087.04
32.4533931	1094.64	1086.95
32.4533931	1094	1086.98
32.4493945	1094.09	1086.93
32.4493945	1094.75	1087
32.44539664	1094.17	1086.99
32.44406419	1094.48	1086.96
32.44006733	1094.32	1086.93
32.44006733	1094.63	1086.93
32.43340755	1094.89	1086.98
32.43607121	1094.7	1086.98
32.43340755	1094.76	1087.08
32.42941268	1094.63	1086.93
32.42808122	1094.6	1086.98
32.42408735	1094.71	1087.07
32.42674985	1094.89	1087.07
32.42541856	1094.82	1087.01
32.42408735	1094.32	1087.03
32.42009422	1094.34	1087.01
32.41743254	1094.39	1086.99
32.41876334	1094.54	1087.05
32.41610183	1094.4	1087.07
32.41211019	1094.23	1087.08
32.41077981	1094.47	1087.11
32.40678916	1094.31	1087.13
32.40545911	1095.06	1087.14
32.40146946	1094.2	1087.11
32.40146946	1094.64	1087.1
32.3988101	1094.73	1087.04
32.39482168	1094.7	1087.11
32.39083401	1094.83	1087.05
32.38950495	1094.45	1087.07
32.38684708	1094.07	1087.07
32.38684708	1094.32	1087.08
32.38817597	1094.73	1087.1
32.38153232	1094.54	1087.14
32.38020384	1094.17	1087.09
32.37887544	1094.31	1087.06
32.37754712	1094.62	1087.18
32.37223468	1095.18	1087.17
32.37223468	1095.02	1087.16
32.36825121	1094.82	1087.22
32.36957895	1094.76	1087.17
32.36957895	1094.61	1087.2
32.36957895	1094.56	1087.19
32.36028649	1094.31	1087.21
32.35763224	1094.78	1087.18
32.35763224	1094.74	1087.21
32.35497832	1094.64	1087.19
32.35365148	1094.76	1087.24
32.35232473	1094.58	1087.17
32.35232473	1094.64	1087.19
32.34834496	1094.68	1087.25
32.34436593	1094.71	1087.22
32.34171365	1094.31	1087.18
32.34038764	1094.81	1087.2
32.33773585	1094.82	1087.28
32.33773585	1094.71	1087.24
32.33773585	1094.76	1087.28
32.33243327	1094.68	1087.28
32.33110783	1094.63	1087.23
32.32978247	1094.66	1087.2
32.32580688	1094.66	1087.27
32.3231569	1094.79	1087.32
32.32050725	1094.88	1087.3
32.31918255	1094.82	1087.3
32.31918255	1094.86	1087.28
32.31520893	1095.14	1087.32
32.31653339	1094.89	1087.21
32.31388455	1094.84	1087.27
32.31256026	1094.82	1087.29
32.30858787	1094.8	1087.28
32.30461621	1094.78	1087.36
32.30329249	1094.87	1087.39
32.30329249	1094.86	1087.33
32.29932181	1094.86	1087.32
32.2966751	1094.88	1087.31
32.29402872	1094.86	1087.42
32.29138267	1094.83	1087.39
32.29270565	1094.99	1087.33
32.29005976	1094.82	1087.4
32.28873694	1094.79	1087.36
32.28609153	1094.84	1087.32
32.28212404	1094.81	1087.38
32.28080171	1094.87	1087.39
32.27815729	1094.83	1087.4
32.27551319	1094.78	1087.33
32.27551319	1095.07	1087.37
32.27551319	1095.05	1087.38
32.26890437	1094.97	1087.41
32.26890437	1094.9	1087.43
32.26494006	1094.8	1087.43
32.25965544	1094.9	1087.44
32.26097648	1094.94	1087.48
32.26229759	1094.91	1087.47
32.25701363	1094.8	1087.48
32.25569284	1094.86	1087.45
32.25569284	1095.15	1087.43
32.25437213	1094.98	1087.45
32.25041051	1095.03	1087.44
32.24909013	1094.94	1087.49
32.24776983	1094.95	1087.53
32.24512947	1094.95	1087.54
32.24248944	1094.93	1087.49
32.24116955	1094.9	1087.49
32.23589079	1094.88	1087.49
32.23589079	1095.01	1087.53
32.23589079	1095.05	1087.57
32.22929417	1094.98	1087.6
32.22929417	1094.85	1087.56
32.22401833	1094.99	1087.59
32.22269957	1094.99	1087.59
32.22401833	1094.97	1087.5
32.2200623	1095.08	1087.56
32.216107	1095.08	1087.56
32.21215243	1095.05	1087.57
32.20951645	1095.15	1087.54
32.20951645	1095.13	1087.57
32.21347054	1094.87	1087.61
32.2055631	1094.91	1087.57
32.2055631	1095.31	1087.64
32.20424548	1094.9	1087.57
32.20292793	1094.98	1087.59
32.20029309	1094.97	1087.58
32.19765857	1095.1	1087.6
32.19765857	1094.95	1087.65
32.19502438	1094.76	1087.64
32.19502438	1095	1087.65
32.18975695	1095.1	1087.58
32.18712373	1095.16	1087.57
32.18449082	1095.04	1087.66
32.18580724	1095.02	1087.65
32.18054208	1094.96	1087.64
32.17790998	1095.52	1087.65
32.17396244	1095.07	1087.66
32.17527821	1095.14	1087.71
32.17001563	1095.16	1087.77
32.17133115	1094.87	1087.71
32.16738482	1095.09	1087.73
32.16606954	1095.59	1087.7
32.16343922	1094.98	1087.71
32.16343922	1094.87	1087.71
32.15949434	1095.04	1087.71
32.15686482	1095.41	1087.68
32.15555019	1095.36	1087.72
32.15160676	1095.42	1087.73
32.15029244	1095.05	1087.72
32.14897821	1095.26	1087.69
32.14766405	1095.66	1087.76
32.14503598	1095.59	1087.74
32.14109449	1094.64	1087.76
32.13978081	1095.45	1087.82
32.13846722	1095.41	1087.87
32.13978081	1095.01	1087.8
32.13584028	1095.1	1087.86
32.13452693	1095.22	1087.81
32.13058736	1095.33	1087.91
32.12796138	1095.51	1087.85
32.12927433	1095.5	1087.83
32.12664851	1095.43	1087.89
32.12271039	1095.76	1087.77
32.12139784	1094.95	1087.78
32.1148363	1095.23	1087.85
32.11221225	1095.26	1087.92
32.11221225	1095.24	1087.86
32.10827677	1094.71	1087.81
32.10958852	1095.38	1087.88
32.10958852	1095.3	1087.9
32.10434202	1095.51	1087.83
32.10303059	1095.07	1087.85
32.10171925	1095.8	1087.95
32.09778569	1095.76	1087.95
32.09647466	1095.53	1087.91
32.09647466	1095.19	1087.93
32.09123137	1095.27	1087.92
32.0886102	1095.33	1087.91
32.08992074	1095.62	1087.95
32.09123137	1095.51	1087.9
32.08336882	1095.45	1087.94
32.08074861	1094.82	1087.92
32.07681889	1095.2	1087.96
32.07681889	1095.18	1087.89
32.07419948	1095.56	1088
32.07550914	1095.65	1087.97
32.07027096	1095.68	1088.01
32.06896161	1095.56	1087.99
32.06634316	1095.65	1087.9
32.06372503	1095.48	1087.89
32.06372503	1095.24	1087.96
32.06241608	1095.03	1087.97
32.05718109	1095.19	1087.97
32.05456407	1095.35	1087.98
32.05325569	1095.89	1088.02
32.05194738	1095.82	1088.08
32.04802293	1095.22	1087.95
32.0440992	1095.82	1088.07
32.04540703	1095.87	1088.11
32.04540703	1095.08	1088.11
32.04279144	1095.63	1088.13
32.04279144	1096.05	1088.09
32.03756123	1095.71	1088.06
32.03625388	1095.65	1088.08
32.03494661	1095.46	1088.1
32.03363941	1095.41	1088.13
32.02841143	1095.13	1088.11
32.02710464	1095.21	1088.2
32.02710464	1095.23	1088.12
32.02449128	1095.45	1088.11
32.02057185	1095.65	1088.11
32.02057185	1095.84	1088.03
32.01795929	1095.67	1088.03
32.01404105	1095.54	1088.03
32.01404105	1095.74	1088.09
32.01142928	1095.33	1088.21
32.00751223	1095.52	1088.16
32.00751223	1095.45	1088.18
32.00359589	1096	1088.17
31.99837522	1095.68	1088.12
32.0009854	1095.54	1088.15
32.0009854	1095.46	1088.19
31.99576536	1095.62	1088.2
31.99446055	1095.95	1088.17
31.99315582	1096.21	1088.19
31.98793769	1095.83	1088.24
31.9905466	1095.82	1088.25
31.9853291	1095.69	1088.15
31.98402492	1095.65	1088.17
31.9814168	1095.77	1088.19
31.978809	1095.88	1088.19
31.97620152	1095.93	1088.2
31.97359436	1095.91	1088.23
31.97098751	1095.7	1088.26
31.9696842	1095.74	1088.24
31.96316886	1095.7	1088.31
31.96447177	1095.72	1088.27
31.96056327	1095.74	1088.24
31.95795801	1095.68	1088.28
31.96186603	1095.69	1088.27
31.95535305	1095.74	1088.2
31.95535305	1095.74	1088.26
31.95274842	1095.71	1088.31
31.9501441	1095.68	1088.37
31.94884206	1095.63	1088.33
31.94493641	1095.67	1088.28
31.94623821	1095.79	1088.24
31.94363468	1095.91	1088.27
31.94233304	1095.89	1088.35
31.93842857	1095.79	1088.35
31.93712724	1095.9	1088.34
31.93582599	1095.96	1088.35
31.93192271	1095.93	1088.32
31.92932091	1096.03	1088.42
31.92802013	1095.78	1088.43
31.92802013	1095.84	1088.38
31.92802013	1095.84	1088.34
31.92151742	1095.9	1088.36
31.92281781	1095.86	1088.39
31.92281781	1095.88	1088.35
31.91891689	1095.87	1088.3
31.91241693	1095.9	1088.35
31.90851791	1095.89	1088.44
31.91111718	1095.9	1088.43
31.9098175	1095.87	1088.4
31.90591895	1096.01	1088.41
31.90591895	1095.89	1088.43
31.90072197	1095.86	1088.48
31.89812396	1095.93	1088.37
31.89552626	1095.97	1088.45
31.8916303	1096.22	1088.52
31.8903318	1095.87	1088.47
31.8903318	1095.81	1088.46
31.88903339	1096	1088.44
31.8838405	1095.98	1088.51
31.88643679	1095.93	1088.53
31.88124453	1095.97	1088.46
31.87864887	1096.01	1088.38
31.87735116	1096	1088.53
31.87475597	1095.66	1088.54
31.8734585	1095.87	1088.52
31.86956654	1095.87	1088.5
31.86956654	1095.96	1088.52
31.86567529	1096.15	1088.53
31.86437837	1096.04	1088.45
31.86437837	1095.88	1088.47
31.86048806	1095.94	1088.54
31.85659845	1096.04	1088.54
31.85789491	1096.02	1088.56
31.85400578	1096.02	1088.59
31.85141341	1096.06	1088.57
31.84752545	1096	1088.55
31.84882136	1095.98	1088.63
31.8436382	1095.96	1088.69
31.84493387	1095.91	1088.67
31.84104709	1095.98	1088.57
31.83975165	1096.26	1088.63
31.84104709	1096.34	1088.55
31.8358658	1096.12	1088.55
31.83327563	1096.11	1088.6
31.83327563	1096.25	1088.62
31.83198066	1096.08	1088.59
31.82680157	1095.97	1088.58
31.82809622	1096.12	1088.56
31.82032946	1096.14	1088.55
31.82032946	1096.19	1088.67
31.81774116	1096.17	1088.67
31.81774116	1096.19	1088.68
31.81644713	1096.22	1088.66
31.8138593	1096.2	1088.62
31.81256551	1096.14	1088.61
31.80997815	1096.15	1088.69
31.8073911	1096.06	1088.69
31.80609769	1096.26	1088.67
31.80351111	1096.21	1088.71
31.79963183	1096.21	1088.7
31.79833889	1096.05	1088.65
31.79575325	1096.12	1088.65
31.79316792	1096.04	1088.69
31.7905829	1096.14	1088.69
31.7905829	1096.22	1088.73
31.78799819	1096.32	1088.84
31.78412171	1096.25	1088.73
31.78282971	1096.22	1088.73
31.78153778	1096.25	1088.8
31.78024593	1096.31	1088.83
31.77766247	1096.55	1088.79
31.77766247	1096.29	1088.75
31.77120518	1096.21	1088.71
31.76733174	1096.2	1088.79
31.76733174	1096.25	1088.81
31.76604075	1096.28	1088.8
31.76216824	1096.32	1088.81
31.75958695	1096.37	1088.78
31.76087756	1096.35	1088.76
31.75829643	1096.34	1088.75
31.75571561	1096.35	1088.8
31.75313511	1096.21	1088.84
31.75055491	1096.32	1088.87
31.74926493	1096.76	1088.84
31.74926493	1096.28	1088.82
31.74797503	1096.28	1088.86
31.74152667	1096.31	1088.87
31.74281619	1096.05	1088.86
31.73508026	1096.48	1088.81
31.73765859	1096.19	1088.85
31.73508026	1096.06	1088.82
31.73379121	1096.45	1088.79
31.72992453	1096.47	1088.84
31.72734713	1096.52	1088.93
31.72863579	1096.54	1088.86
31.72477004	1096.45	1088.91
31.72090498	1096.43	1088.88
31.71961679	1096.38	1088.92
31.71575266	1096.42	1088.95
31.71704063	1096.53	1088.99
31.71446478	1096.49	1088.89
31.71446478	1096.4	1088.96
31.7080265	1096.49	1088.96
31.70545174	1096.5	1088.98
31.70416447	1096.2	1089.01
31.70030313	1096.44	1088.95
31.70159017	1096.46	1088.98
31.70030313	1096.5	1088.94
31.69644249	1096.41	1089.03
31.6977293	1096.35	1088.94
31.69258255	1096.35	1089
31.69258255	1096.44	1089.02
31.6887233	1096.56	1089.08
31.68615086	1096.4	1089.05
31.68357872	1096.57	1089.04
31.67972109	1096.51	1089.05
31.68100689	1096.93	1089.1
31.68229277	1096.61	1089.04
31.67457868	1096.47	1089.08
31.67072267	1096.42	1088.99
31.67072267	1096.62	1089.08
31.67200793	1096.61	1089.08
31.67072267	1096.96	1089.12
31.66558242	1096.53	1089.06
31.66686737	1096.61	1089.1
31.66429755	1096.64	1089.07
31.66172804	1096.63	1089.02
31.65787435	1096.62	1089.01
31.65402136	1096.61	1089.08
31.65402136	1096.56	1089.08
31.65145308	1096.48	1089.06
31.64760124	1096.55	1089.15
31.64631745	1096.61	1089.2
31.64631745	1096.55	1089.19
31.64246654	1096.58	1089.18
31.64246654	1096.57	1089.19
31.63861632	1097.31	1089.15
31.6347668	1096.86	1089.08
31.63348378	1096.71	1089.26
31.6347668	1096.69	1089.16
31.62963518	1096.66	1089.11
31.63220083	1096.6	1089.11
31.63091797	1096.7	1089.15
31.62706983	1096.69	1089.18
31.62450479	1096.71	1089.12
31.62322238	1096.79	1089.22
31.61937563	1096.84	1089.21
31.61937563	1096.85	1089.23
31.6142477	1096.84	1089.21
31.609121	1096.84	1089.2
31.609121	1096.73	1089.16
31.60655811	1096.74	1089.26
31.60527679	1096.76	1089.25
31.60399553	1096.83	1089.22
31.60271436	1096.24	1089.23
31.60015224	1096.17	1089.3
31.59759043	1096.58	1089.2
31.59374829	1096.78	1089.16
31.59118724	1096.77	1089.28
31.58734625	1096.7	1089.33
31.5886265	1096.75	1089.3
31.58478597	1096.72	1089.21
31.58478597	1096.73	1089.28
31.58222601	1096.88	1089.32
31.58350595	1096.84	1089.3
31.57966634	1096.82	1089.28
31.57582742	1096.79	1089.38
31.57198919	1096.84	1089.35
31.57070994	1096.76	1089.33
31.56943076	1096.77	1089.39
31.56815166	1096.88	1089.35
31.56687263	1096.85	1089.37
31.56175729	1096.9	1089.42
31.56175729	1096.88	1089.32
31.55792159	1096.91	1089.32
31.55280839	1096.9	1089.31
31.55280839	1096.93	1089.36
31.55025226	1096.9	1089.38
31.54641862	1096.91	1089.4
31.54386325	1097.02	1089.4
31.54641862	1096.96	1089.42
31.54641862	1096.91	1089.42
31.54641862	1096.93	1089.35
31.54258568	1096.92	1089.38
31.54003077	1097	1089.38
31.53619897	1096.96	1089.45
31.53492186	1096.99	1089.4
31.53109098	1096.87	1089.36
31.53109098	1096.93	1089.45
31.52853744	1096.81	1089.44
31.52726079	1096.85	1089.47
31.52343128	1096.99	1089.49
31.52470771	1097.06	1089.41
31.52087866	1097.01	1089.47
31.51577434	1096.82	1089.49
31.51449845	1096.71	1089.48
31.50939565	1096.87	1089.55
31.51067123	1096.98	1089.49
31.51067123	1096.94	1089.5
31.50812014	1097.01	1089.44
31.50684471	1097.12	1089.49
31.50174374	1097.07	1089.55
31.50174374	1097	1089.55
31.49919372	1097.02	1089.6
31.49919372	1097.07	1089.52
31.49536925	1096.83	1089.48
31.49154547	1096.92	1089.52
31.48772238	1097.1	1089.54
31.48644817	1096.79	1089.62
31.48517403	1097.03	1089.55
31.48644817	1097.14	1089.61
31.48389997	1097.16	1089.57
31.48135208	1097.1	1089.58
31.47625722	1097.13	1089.53
31.47371024	1097.12	1089.58
31.47371024	1097.14	1089.67
31.47116357	1097.15	1089.64
31.47116357	1097.18	1089.66
31.4686172	1097.12	1089.65
31.46225261	1097.11	1089.59
31.46097993	1097.13	1089.64
31.45843478	1097.24	1089.67
31.45843478	1097.18	1089.62
31.45843478	1097.18	1089.61
31.45461762	1097.19	1089.62
31.45461762	1097.2	1089.62
31.45207323	1097.21	1089.65
31.44698537	1097.17	1089.72
31.44571359	1097.12	1089.79
31.44317027	1097.17	1089.69
31.44444189	1097.26	1089.81
31.44062724	1097.31	1089.77
31.43935585	1097.32	1089.72
31.43427102	1097.19	1089.76
31.43681328	1097.23	1089.76
31.433	1097.07	1089.67
31.4304582	1097.24	1089.7
31.4279167	1097.22	1089.73
31.42918741	1097.22	1089.77
31.4228346	1097.24	1089.77
31.41902383	1097.34	1089.8
31.41775373	1097.36	1089.8
31.41521374	1097.3	1089.88
31.41394386	1097.32	1089.83
31.41140433	1097.31	1089.83
31.41267406	1097.08	1089.78
31.40759561	1097.19	1089.73
31.40886511	1097.29	1089.77
31.40632618	1097.26	1089.74
31.40505684	1097.28	1089.75
31.40124925	1097.38	1089.77
31.39998021	1097.29	1089.86
31.39363612	1097.24	1089.78
31.39490479	1097.28	1089.78
31.39236753	1097.35	1089.8
31.38729393	1097.38	1089.76
31.38729393	1097.26	1089.82
31.38602572	1097.33	1089.84
31.38475758	1097.39	1089.86
31.38222154	1097.43	1089.81
31.3796858	1097.35	1089.83
31.37841804	1097.32	1089.88
31.37461522	1097.5	1089.91
31.37208039	1097.58	1089.84
31.36827871	1097.5	1089.81
31.36701163	1097.49	1089.8
31.36701163	1097.37	1089.87
31.3644777	1097.49	1089.86
31.35941076	1097.55	1089.88
31.35941076	1097.52	1090.01
31.35687774	1097.47	1089.94
31.35434503	1097.48	1090
31.35054652	1097.37	1089.94
31.35181261	1097.44	1090.02
31.35181261	1097.47	1090
31.34801456	1097.58	1089.95
31.3454829	1097.5	1089.93
31.34421718	1097.51	1089.95
31.34295154	1097.49	1090
31.34295154	1097.41	1090
31.34168598	1097.41	1090.06
31.33662447	1097.4	1089.95
31.33156417	1097.68	1089.96
31.33029929	1097.56	1090.02
31.32903448	1097.46	1090.04
31.32650508	1097.5	1090.06
31.32397599	1097.45	1090.05
31.32271156	1097.51	1090.03
31.31891871	1097.5	1090.03
31.31765458	1097.57	1090.06
31.31386264	1097.57	1089.99
31.31007137	1097.62	1090.05
31.30880777	1097.67	1089.97
31.30880777	1097.83	1089.95
31.30628079	1097.73	1090.03
31.30501741	1097.65	1090.13
31.30628079	1097.61	1090.09
31.30249088	1097.57	1090.1
31.29870165	1097.65	1090.05
31.29870165	1097.57	1090.08
31.29617587	1097.76	1090.02
31.29617587	1097.59	1090.13
31.29112522	1097.89	1090.11
31.28860035	1097.86	1090.06
31.28860035	1098.47	1090.11
31.2835515	1097.63	1090.07
31.2835515	1097.79	1090.12
31.28228948	1097.75	1090.1
31.27850386	1097.76	1090.06
31.27850386	1097.64	1090.12
31.2759805	1097.8	1090.17
31.27345743	1097.72	1090.19
31.26967339	1097.62	1090.15
31.26967339	1097.83	1090.19
31.26715107	1097.77	1090.16
31.26336816	1097.72	1090.15
31.26210734	1097.76	1090.17
31.2608466	1097.72	1090.17
31.25580437	1097.57	1090.24
31.2532837	1097.7	1090.22
31.254544	1097.99	1090.17
31.25202348	1097.8	1090.17
31.25202348	1097.78	1090.19
31.24950327	1098.63	1090.16
31.24446375	1098.02	1090.34
31.24446375	1097.99	1090.25
31.24572352	1097.9	1090.24
31.24068489	1097.86	1090.24
31.23690671	1097.94	1090.21
31.23564747	1097.8	1090.27
31.23187019	1097.85	1090.26
31.23061124	1097.85	1090.29
31.22557622	1097.86	1090.28
31.22683486	1097.95	1090.28
31.22305916	1097.82	1090.3
31.22180074	1097.82	1090.28
31.21928413	1097.8	1090.28
31.21676781	1097.98	1090.3
31.21928413	1097.84	1090.33
31.21299391	1097.89	1090.38
31.21173609	1097.95	1090.38
31.21047834	1097.91	1090.35
31.20419075	1098.05	1090.35
31.20293345	1097.85	1090.35
31.20419075	1097.9	1090.4
31.20041909	1097.9	1090.44
31.19790502	1097.92	1090.38
31.1966481	1097.52	1090.41
31.19162117	1097.85	1090.43
31.19036462	1097.89	1090.44
31.19036462	1097.9	1090.45
31.18533918	1097.92	1090.44
31.18533918	1097.94	1090.34
31.18282691	1097.97	1090.4
31.18157089	1097.97	1090.4
31.17905907	1097.99	1090.37
31.17780327	1097.98	1090.45
31.17403633	1097.97	1090.4
31.17403633	1097.92	1090.42
31.17027005	1098.03	1090.47
31.16775958	1098.03	1090.44
31.1652494	1097.81	1090.43
31.16399442	1097.96	1090.46
31.15897527	1098.34	1090.4
31.1614847	1098.22	1090.47
31.15897527	1098.02	1090.55
31.15646613	1098.09	1090.47
31.15521168	1098	1090.47
31.15144877	1097.94	1090.58
31.14768653	1097.86	1090.58
31.1464326	1098.01	1090.51
31.14517874	1098.1	1090.48
31.14517874	1098.01	1090.47
31.14141762	1098.02	1090.53
31.14141762	1098.05	1090.52
31.13515058	1098.05	1090.55
31.13389739	1098.06	1090.51
31.13264428	1098.06	1090.58
31.13264428	1098.29	1090.57
31.13013829	1098.21	1090.61
31.13139125	1098.14	1090.54
31.12512719	1098.01	1090.58
31.12262209	1098.15	1090.6
31.12136965	1098.07	1090.66
31.11385658	1098.1	1090.68
31.11385658	1098.11	1090.63
31.11510857	1098.15	1090.68
31.11260466	1098.09	1090.69
31.11010105	1098.11	1090.67
31.10884935	1098.12	1090.67
31.10759773	1098.2	1090.6
31.10634619	1098.19	1090.63
31.10134075	1098.28	1090.6
31.09758746	1098.27	1090.59
31.09633651	1098.28	1090.6
31.09508563	1098.18	1090.64
31.09258411	1098.22	1090.67
31.09133345	1098.06	1090.7
31.09008288	1098.03	1090.64
31.08633159	1098.1	1090.69
31.08508131	1098.14	1090.72
31.08383111	1098.18	1090.72
31.08383111	1098.26	1090.74
31.07758119	1098.31	1090.68
31.07383214	1098.31	1090.71
31.07133314	1098.3	1090.75
31.07133314	1098.27	1090.72
31.07133314	1098.27	1090.7
31.07133314	1098.27	1090.68
31.06383793	1098.39	1090.75
31.06383793	1098.35	1090.82
31.06009133	1098.32	1090.84
31.06134012	1098.24	1090.78
31.05884261	1098.29	1090.83
